id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
327	BRASSICA OLERACEA VAR. GEMMIFERA	BRUSSELS SPROUT	RUUSUKAALI	true	Kasvikset	41.35755258126195	0.1	3.72	4.4
329	BRASSICA OLERACEA VAR. GONGYLODES	KOHLRABI	KYSSÄKAALI, KAALIRAPI	true	Kasvikset	32.27533460803059	0.1	4.59	1.9
330	LACTUCA SATIVA VAR. CRISPA	LETTUCE	LEHTISALAATTI, RUUKKUSALAATTI, LOLLO ROSSO	true	Kasvikset	12.617112810707455	0.2	0.98	1
331	LACTUCA SATIVA VAR. CAPITATA	ICEBERG LETTUCE	JÄÄVUORISALAATTI, RAPEA KERÄSALAATTI, AMERIKANSALAATTI	true	Kasvikset	13.018642447418737	0.2	0.98	1.2
333	PETROSELINUM CRISPUM	PARSLEY	PERSILJA	true	Kasvikset	27.323135755258125	0.2	0.8	8
334	URTICA DIOICA	NETTLE, STINGING NETTLE	NOKKONEN	true	Kasvikset	42.911089866156786	0.2	0.67	6.6
335	ALLIUM CEPA	ONION	SIPULI, KELTASIPULI	true	Kasvikset	29.369024856596557	0.1	4.8	1.7
337	ALLIUM PORRUM	LEEK	PURJOSIPULI	true	Kasvikset	22.889579349904395	0.2	2.4	2.1
338	RHEUM	RHUBARB	RAPARPERI	true	Kasvikset	33.68307839388145	0.1	5.5	1.4
339	APIUM GRAVEOLENS	CELERY	LEHTISELLERI, VARSISELLERI	true	Kasvikset	12.70076481835564	0.2	1.1	1
342	BOLETUS EDULIS, RUSSULA PALUDOSA	MUSHROOM, BOLETUS, RUSSULA	SIENI, TATTI, HAPERO	true	Kasvikset	32.136711281070745	0.5	2	1.9
345	AGARICUS BISPORUS	CHAMPIGNON, FRESH	HERKKUSIENI	true	Kasvikset	15.026290630975142	0.23	0.1	1.5
346	CUCUMIS SATIVUS	CUCUMBER	KURKKU	true	Kasvikset	11.297801147227533	0.1	1.4	0.7
350	CUCURBITA PEPO	PUMPKIN	KURPITSA	true	Kasvikset	15.881931166347993	0.1	1.7	2
352	LYCOPERSICON ESCULENTUM	TOMATO	TOMAATTI	true	Kasvikset	22.731835564053537	0.3	3.35	1.4
355	CAPSICUM ANNUUM	SWEET PEPPER, AVERAGE	PAPRIKA, KESKIARVO	true	Kasvikset	28.324569789674953	0.4	4.2	1.9
359	BRASSICA PEKINENSIS	CHINESE CABBAGE	KIINANKAALI	true	Kasvikset	14.529158699808795	0.1	1.46	1.1
360	BETA VULGARIS VAR. VULGARIS	SWISS CHARD	MANGOLDI	true	Kasvikset	17.2131931166348	0.3	1.5	1.4
362	SOLANUM MELONGENA	AUBERGINE	MUNAKOISO	true	Kasvikset	22.363766730401526	0.2	2.9	2.5
363	ZEA MAYS	SWEET CORN KERNELS	MAISSI, JYVÄT	true	Kasvikset	134.54349904397705	1.36	3.6	3.7
